sample_name,scandir,heightstep,suffix,ring
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,8,z0_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,8,z0_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,8,z0_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,8,z0_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,7,z1_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,7,z1_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,7,z1_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,7,z1_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,6,z2_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,6,z2_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,6,z2_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo,6,z2_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,5,z3_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring,5,z3_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo,5,z3_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo,5,z3_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo,4,z4_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,4,z4_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,4,z4_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,4,z4_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,3,z5_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,3,z5_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,3,z5_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,3,z5_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,2,z6_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,2,z6_x1,2
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,2,z6_x2,3
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,2,z6_x3,4
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,1,z7_x0,1
mouse89873_5023,008_Mouse89873_5023_eth_27keV_9000proj_ring_redo2,1,z7_x1,2
mouse89873_5023,032_Mouse89883_5823_eth_9000proj_ring,1,z6_x2_dummy,3
mouse89873_5023,032_Mouse89883_5823_eth_9000proj_ring,1,z6_x3_dummy,4
