sample_name,scandir,heightstep,suffix,ring
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,8,z0_x0,1
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,8,z0_x1,2
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,8,z0_x2,3
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,8,z0_x3,4
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,7,z1_x0,1
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,7,z1_x1,2
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,7,z1_x2,3
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,7,z1_x3,4
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,6,z2_x0,1
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,6,z2_x1,2
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,6,z2_x2,3
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,6,z2_x3,4
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,5,z3_x0,1
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,5,z3_x1,2
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,5,z3_x2,3
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,5,z3_x3,4
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,4,z4_x0,1
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,4,z4_x1,2
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,4,z4_x2,3
mouse89043_6223,022_Mouse89043_6223_eth_27keV_9000proj_ring,4,z4_x3_redo,4
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,3,z5_x0,1
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,3,z5_x1,2
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,3,z5_x2,3
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,3,z5_x3,4
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,2,z6_x0,1
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,2,z6_x1,2
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,2,z6_x2,3
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,2,z6_x3,4
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,1,z7_x0,1
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,1,z7_x1,2
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,1,z7_x2,3
mouse89043_6223,023_Mouse89043_6223_eth_27keV_9000proj_ring,1,z7_x3,4
